"id","sequence","nro_type","name","maintenance_type","description"
"maintenance_request_type_001","10","1","Orden de trabajo de neumaticos.","Preventive",""
"maintenance_request_type_002","11","g","Orden de trabajo por alistamiento.","Preventive",""
"maintenance_request_type_003","12","3","Orden de trabajo Chasis.","Preventive",""
"maintenance_request_type_004","13","4","Orden de trabajo de carroceria.","Preventive",""
"maintenance_request_type_005","14","5","Orden de trabajo equipos SIRCI.","Preventive",""
"maintenance_request_type_006","15","6","Orden de trabajo equipos ITS.","Preventive",""
"maintenance_request_type_007","16","7","Orden de trabajo lavado.","Preventive",""
"maintenance_request_type_008","17","8","Orden de trabajo por campañas.","Preventive",""
"maintenance_request_type_009","18","9","Orden de trabajo alistamiento.","Preventive",""
"maintenance_request_type_010","19","1","Ordenes de trabajo por garantia","Corrective","<p>Actividades no recurrentes cuando se debe enviar directamente al fabricante por desperfecto o falla.</p>"
"maintenance_request_type_011","20","2","Ordenes de trabajo por varado en via","Corrective","<p>Actividades generadas cuando el vehiculo presenta suceso en la via, que genera que no pueda continuar su recorrido y deba ser transportado en grua al patio taller.</p>"
"maintenance_request_type_012","21","3","Ordenes de trabajo por incidente en via","Corrective","<p>Actividades generadas cuando el vehiculo presenta un incidente en la via(colision, atropellamiento,volcamiento, incendio, otros) y deba ser transportado en grua al patio talle.</p>"
"maintenance_request_type_013","22","4","Orden de trabajo correctiva por otros motivos","Corrective","<p>Actividades que surgen por necesidad en el momento.</p>"
"maintenance_request_type_014","23","5","Orden de trabajo por asistencia en via","Corrective","<p>Actividades de mantenimiento que realiza el carro taller en via y se solucionan y el vehiculo puede continuar el recorrido. <font style=""color: rgb(255, 0, 0);""><b>Caso de uso independiente.</b></font></p>"
"maintenance_request_type_general","24","gg","General (Preventive)","Preventive",""
