id,name,code
Tabla_08_0001,LIBRO CAJA Y BANCOS,1
Tabla_08_0002,LIBRO DE INGRESOS Y GASTOS,2
Tabla_08_0003,LIBRO DE INVENTARIOS Y BALANCES,3
Tabla_08_0004,LIBRO DE RETENCIONES INCISOS E) Y F) DEL ARTICULO 34° DE LA LEY DEL IMPUESTO A LA RENTA,4
Tabla_08_0005,LIBRO DIARIO,5
Tabla_08_0006,LIBRO MAYOR,6
Tabla_08_0007,REGISTRO DE ACTIVOS FIJOS,7
Tabla_08_0008,REGISTRO DE COMPRAS,8
Tabla_08_0009,REGISTRO DE CONSIGNACIONES,9
Tabla_08_0010,REGISTRO DE COSTOS,10
Tabla_08_0011,REGISTRO DE HUÉSPEDES,11
Tabla_08_0012,REGISTRO DE INVENTARIO PERMANENTE EN UNIDADES FÍSICAS,12
Tabla_08_0013,REGISTRO DE INVENTARIO PERMANENTE VALORIZADO,13
Tabla_08_0014,REGISTRO DE VENTAS E INGRESOS,14
Tabla_08_0015,REGISTRO DE VENTAS E INGRESOS - ARTÍCULO 23° RESOLUCIÓN DE SUPERINTENDENCIA N° 266-2004/SUNAT,15
Tabla_08_0016,REGISTRO DEL RÉGIMEN DE PERCEPCIONES,16
Tabla_08_0017,REGISTRO DEL RÉGIMEN DE RETENCIONES,17
Tabla_08_0018,REGISTRO IVAP,18
Tabla_08_0019,REGISTRO(S) AUXILIAR(ES) DE ADQUISICIONES - ARTÍCULO 8° RESOLUCIÓN DE SUPERINTENDENCIA N° 022-98/SUNAT,19
Tabla_08_0020,REGISTRO(S) AUXILIAR(ES) DE ADQUISICIONES - INCISO A) PRIMER PÁRRAFO ARTÍCULO 5° RESOLUCIÓN DE SUPERINTENDENCIA N° 021-99/SUNAT,20
Tabla_08_0021,REGISTRO(S) AUXILIAR(ES) DE ADQUISICIONES - INCISO A) PRIMER PÁRRAFO ARTÍCULO 5° RESOLUCIÓN DE SUPERINTENDENCIA N° 142-2001/SUNAT,21
Tabla_08_0022,REGISTRO(S) AUXILIAR(ES) DE ADQUISICIONES - INCISO C) PRIMER PÁRRAFO ARTÍCULO 5° RESOLUCIÓN DE SUPERINTENDENCIA N° 256-2004/SUNAT,22
Tabla_08_0023,REGISTRO(S) AUXILIAR(ES) DE ADQUISICIONES - INCISO A) PRIMER PÁRRAFO ARTÍCULO 5° RESOLUCIÓN DE SUPERINTENDENCIA N° 257-2004/SUNAT,23
Tabla_08_0024,REGISTRO(S) AUXILIAR(ES) DE ADQUISICIONES - INCISO C) PRIMER PÁRRAFO ARTÍCULO 5° RESOLUCIÓN DE SUPERINTENDENCIA N° 258-2004/SUNAT,24
Tabla_08_0025,REGISTRO(S) AUXILIAR(ES) DE ADQUISICIONES - INCISO A) PRIMER PÁRRAFO ARTÍCULO 5° RESOLUCIÓN DE SUPERINTENDENCIA N° 259-2004/SUNAT,25
Tabla_08_0026,REGISTRO DE RETENCIONES ARTÍCULO 77-A DE LA LEY DEL IMPUESTO A LA RENTA,26
Tabla_08_0027,LIBRO DE ACTAS DE LA EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA,27
Tabla_08_0028,LIBRO DE ACTAS DE LA JUNTA GENERAL DE ACCIONISTAS,28
Tabla_08_0029,LIBRO DE ACTAS DEL DIRECTORIO,29
Tabla_08_0030,LIBRO DE MATRÍCULA DE ACCIONES,30
Tabla_08_0031,LIBRO DE PLANILLAS,31
